id;simbolo;nombre;precio_actual;cap_mercado;ranking_cap_mercado;valoracion_total_diluida;volumen_total;maximo_24h;minimo_24h;cambio_precio_24h;%_cambio_precio_24h;cambio_cap_mercado_24h;%_cambio_cap_mercado_24h;suministro_sirculacion;suminitro_total;suministro_maximo;ath(maximo_historico);cambio_%_desde_ath(maximo_historico);fecha_ath(maximo_historico);atl(minimo_historico);cambio_%_desde_atl(minimo_historico);fecha_atl(minimo_historico)
bitcoin;btc;Bitcoin;29217,0;568520079535;1;613554040376,0;9257354437,0;29409,0;29119,0;-136,35262346696254;-0,46452;-2608143561,849121;-0,45667;19458631,0;21000000,0;21000000,0;69045,0;-57,68418;2021-11-10;67,81;42986,99297;2013-07-06 00:00:00+00:00
ethereum;eth;Ethereum;1828,43;219666150686;2;219671170295,0;4477193483,0;1843,5;1818,53;-15,016354710493715;-0,81458;-1798421631,947754;-0,81206;120139477,272935;120142222,589507;nan;4878,26;-62,51883;2021-11-10;0,432979;422190,66183;2015-10-20 00:00:00+00:00
tether;usdt;Tether;0,998687;83070163336;3;83070163336,0;14112224324,0;1,001;0,996782;-0,0006256206060707;-0,06261;-237537595,6696472;-0,28513;83182001730,3693;83182001730,3693;nan;1,32;-24,5189;2018-07-24;0,572521;74,43673;2015-03-02 00:00:00+00:00
binancecoin;bnb;BNB;236,61;36403339914;4;47321267188,0;440787285,0;240,15;235,56;-3,497885317228452;-1,45682;-523199946,1490402;-1,41687;153856150,0;153856150,0;200000000,0;686,31;-65,52469;2021-05-10;0,0398177;594124,05777;2017-10-19 00:00:00+00:00
ripple;xrp;XRP;0,606347;31999167179;5;60619081868,0;1201751605,0;0,631126;0,596803;-0,0240960447982628;-3,82208;-1202049774,937729;-3,6205;52787284454,0;99988519823,0;100000000000,0;3,4;-82,15803;2018-01-07;0,00268621;22472,73451;2014-05-22 00:00:00+00:00
usd-coin;usdc;USD Coin;0,999888;26031147244;6;26031170937,0;2666824422,0;1,002;0,998887;-0,0001095462781851;-0,01095;3751484,0;0,01441;26031297692,8684;26031321386,3287;nan;1,17;-14,68255;2019-05-08;0,877647;14,00067;2023-03-11 08:02:13.981000+00:00
staked-ether;steth;Lido Staked Ether;1828,05;14859970073;7;14859970073,0;18138275,0;1842,98;1817,06;-13,375241933679945;-0,72635;-75118257,19148254;-0,50296;8131675,99699782;8131675,99699782;8131675,99699782;4829,57;-62,15346;2021-11-10;482,9;278,51313;2020-12-22 04:08:21.854000+00:00
dogecoin;doge;Dogecoin;0,071108;9997581469;8;9997562272,0;533411405,0;0,074898;0,070727;-0,0036245976402129;-4,85011;-508907573,748333;-4,84375;140607376383,705;140607106383,705;nan;0,731578;-90,281;2021-05-08;8,69e-05;81717,07095;2015-05-06 00:00:00+00:00
cardano;ada;Cardano;0,281365;9858929091;9;12659481962,0;186796914,0;0,290166;0,279226;-0,0086980111012303;-2,99866;-300875658,0792408;-2,96143;35045020830,3234;45000000000,0;45000000000,0;3,09;-90,88662;2021-09-02;0,01925275;1361,20355;2020-03-13 02:22:55.044000+00:00
solana;sol;Solana;23,93;9714232189;10;13273003019,0;441722458,0;25,07;23,76;-1,035163244078127;-4,14589;-445716468,3100071;-4,387;406274731,483252;555111884,535689;nan;259,96;-90,79702;2021-11-06;0,500801;4677,14353;2020-05-11 19:35:23.449000+00:00
tron;trx;TRON;0,076598;6852793651;11;6852799205,0;189308334,0;0,077316;0,076225;-0,0007087785943974;-0,91684;-61426133,38952732;-0,8884;89462295595,2438;89462368093,8924;nan;0,231673;-66,93713;2018-01-05;0,00180434;4145,18569;2017-11-12 00:00:00+00:00
polkadot;dot;Polkadot;4,83;6090948412;12;6480795816,0;110487218,0;4,98;4,75;-0,1550282485169445;-3,11234;-203553611,8331499;-3,23383;1264743557,67343;1345692690,60447;nan;54,98;-91,2422;2021-11-04;2,7;78,506;2020-08-20 05:48:11.359000+00:00
matic-network;matic;Polygon;0,636395;5925431894;13;6358121745,0;262692168,0;0,678007;0,631046;-0,0407431285816751;-6,01696;-383714240,2152929;-6,08187;9319469069,28493;10000000000,0;10000000000,0;2,92;-78,17028;2021-12-27;0,00314376;20150,01945;2019-05-10 00:00:00+00:00
shiba-inu;shib;Shiba Inu;1,006e-05;5916061271;14;10038405732,0;440295785,0;1,061e-05;9,71e-06;-2,84779370292e-07;-2,75272;-169723560,94056892;-2,78885;589334625917302,6;999986277247695,0;nan;8,616e-05;-88,37915;2021-10-28;5,6366e-11;17762943,22364;2020-11-28 11:26:25.838000+00:00
litecoin;ltc;Litecoin;79,48;5838608073;15;6668520131,0;590102301,0;82,0;78,84;-2,439468733035284;-2,97786;-184010239,48789883;-3,05532;73546014,4834713;84000000,0;84000000,0;410,26;-80,62777;2021-05-10;1,15;6817,96278;2015-01-14 00:00:00+00:00
the-open-network;ton;Toncoin;1,49;5112018404;16;7569976490,0;32657394,0;1,51;1,45;0,03645549;2,50826;121884377,0;2,44251;3438586967,85309;5091926603,2375;nan;5,29;-71,86173;2021-11-12;0,519364;186,6465;2021-09-21 00:33:11.092000+00:00
wrapped-bitcoin;wbtc;Wrapped Bitcoin;29200,0;4737942276;17;4737942276,0;47239545,0;29426,0;29133,0;-160,920510532138;-0,54808;-27553409,71511173;-0,57819;162205,42867407;162205,42867407;162205,42867407;70643,0;-58,67286;2021-11-10;3139,17;830,0187;2019-04-02 00:00:00+00:00
bitcoin-cash;bch;Bitcoin Cash;229,17;4463465177;18;4812378388,0;332384706,0;236,88;228,51;0,126148;0,05508;2574739,0;0,05772;19477431,1466508;21000000,0;21000000,0;3785,82;-93,94684;2017-12-20;76,93;197,86492;2018-12-16 00:00:00+00:00
uniswap;uni;Uniswap;5,92;4451443481;19;5905598742,0;113099007,0;6,28;5,89;-0,3204851402074071;-5,13914;-250343205,8103075;-5,32443;753766667,0;1000000000,0;1000000000,0;44,92;-86,84685;2021-05-03;1,03;473,51059;2020-09-17 01:20:38.214000+00:00
avalanche-2;avax;Avalanche;11,82;4065715628;20;8512256147,0;128754080,0;12,34;11,65;-0,4956228912001315;-4,02324;-169366279,4310856;-3,99913;343894168,75805;430613626,051528;720000000,0;144,96;-91,84247;2021-11-21;2,8;322,16985;2020-12-31 13:15:21.540000+00:00
